Date,Open,High,Low,Close,Volume,Price,Return,SMA_10,SMA_15,SMA_20,SMA_30,SMA_50,SMA_100,SMA_150,SMA_200,EMA_12,EMA_26,RSI_14,Vol_20,Signal,Position,Trade,Gross_Strategy_Return,Transaction_Cost,Strategy_Return,Portfolio_Value,Buy_Hold_Value,Running_Max,Drawdown
2024-03-22,509.7052719913618,510.1933925850028,508.59234273745244,508.8266906738281,79070800,508.8266906738281,-0.0018959103266921185,503.2418670654297,501.31525065104165,499.5904022216797,495.4471110026042,486.45881591796876,464.88088470458985,450.31710347493487,444.88433044433594,502.9887843975312,496.9717741799521,62.98396077582208,0.09454088190611872,0,0,0,-0.0,0.0,-0.0,11525.64878655835,13765.026934428632,11537.185972530879,-0.0009999999999998899
2024-03-25,507.4502157274298,508.5729170562345,507.2647274970631,507.42095947265625,48512100,507.42095947265625,-0.0027626915547812603,504.2253021240234,501.9046936035156,500.3395370483398,496.1019226074219,487.3353936767578,465.9268322753906,450.88919759114583,445.3690771484375,503.670657486012,497.7457879053376,69.26257565719817,0.0939448519091548,0,0,0,-0.0,0.0,-0.0,11525.64878655835,13726.99841076555,11537.185972530879,-0.0009999999999998899
2024-03-26,508.8462213354942,509.1879415331935,506.0835014250274,506.4837341308594,65463700,506.4837341308594,-0.0018470371085398396,504.5797424316406,502.76384887695315,500.9960693359375,496.7326324462891,488.1868035888672,466.93810882568357,451.4367559814453,445.83672393798827,504.1034385082962,498.3930431813022,65.13112031128847,0.09468380622539022,0,0,0,-0.0,0.0,-0.0,11525.64878655835,13701.644135311999,11537.185972530879,-0.0009999999999998899
2024-03-27,509.31474693297747,510.7791085289284,507.14746078675665,510.7400207519531,82999800,510.7400207519531,0.008403599828131991,505.4386474609375,503.74001261393227,501.89801635742185,497.72905782063805,489.1574005126953,467.94871826171874,452.02035237630207,446.32194732666017,505.1244511611665,499.30763411246147,64.43878369959401,0.09732626296302259,0,0,0,0.0,0.0,0.0,11525.64878655835,13816.787269612632,11537.185972530879,-0.0009999999999998899
2024-03-28,510.77911358782484,512.1458153398996,510.3593370763644,510.6424255371094,96294900,510.6424255371094,-0.00019108589669569742,506.387060546875,504.3813720703125,502.70652160644534,498.5765716552734,490.177431640625,468.8798388671875,452.5718747965495,446.7879179382324,505.97337029592694,500.14724829206506,70.53764380167505,0.09733697511611633,0,0,0,-0.0,0.0,-0.0,11525.64878655835,13814.147076427764,11537.185972530879,-0.0009999999999998899
2024-04-01,511.38445509453464,511.92137584867254,508.5923599199536,509.75408935546875,62477500,509.75408935546875,-0.0017396442935705414,507.59076538085935,505.1639933268229,503.2384994506836,499.2828786214193,491.0979461669922,469.76398376464846,453.1570115152995,447.23568572998045,506.5550193820103,500.8588661486135,69.49736712386645,0.0935097914359223,0,0,0,-0.0,0.0,-0.0,11525.64878655835,13790.11537429571,11537.185972530879,-0.0009999999999998899
2024-04-02,505.927220028753,506.6496289689748,504.2090260168563,506.51300048828125,74230300,506.51300048828125,-0.006358141964658892,508.1745574951172,505.7590861002604,503.6351837158203,499.962250773112,491.8380206298828,470.606025390625,453.7007084147135,447.6647459411621,506.54855493682123,501.2776909145148,56.14217287587254,0.09693677037282965,0,0,0,-0.0,0.0,-0.0,11525.64878655835,13702.435863036913,11537.185972530879,-0.0009999999999998899
2024-04-03,505.4196078580209,508.57290771634445,505.3708077109344,507.0694580078125,59155800,507.0694580078125,0.0010986046142840156,508.5357666015625,506.0344278971354,504.30883636474607,500.7493825276693,492.5693701171875,471.44161193847657,454.2301491292318,448.07051010131835,506.6286938708199,501.7067106992035,58.521481754070955,0.08814075154401387,0,0,0,0.0,0.0,0.0,11525.64878655835,13717.489422302975,11537.185972530879,-0.0009999999999998899
2024-04-04,511.08186037390533,511.4235209921689,500.5774945359362,500.880126953125,96858100,500.880126953125,-0.012206081350283449,507.8123718261719,505.9497049967448,504.54796447753904,501.3156046549479,493.1494891357422,472.21220336914064,454.6771173095703,448.45258178710935,505.74429896040533,501.645482273568,49.591602468576006,0.0991488687324238,0,0,0,-0.0,0.0,-0.0,11525.64878655835,13550.052630492693,11537.185972530879,-0.0009999999999998899
2024-04-05,502.2370828649808,508.0749863325785,501.7977623960231,506.11273193359375,74546500,506.11273193359375,0.010446820903633913,507.44432373046874,506.2800008138021,504.80249938964846,501.7224355061849,493.8239428710938,473.0681735229492,455.1470568847656,448.87182723999024,505.80098095628045,501.97638965579216,61.710336560972415,0.09982014110642477,0,0,0,0.0,0.0,0.0,11525.64878655835,13691.607603558265,11537.185972530879,-0.0009999999999998899
2024-04-08,506.8156491443553,507.8211466086966,505.5855756833857,506.39581298828125,48401800,506.39581298828125,0.0005593241126458093,507.20123596191405,506.85858561197915,505.2215515136719,502.1273468017578,494.45267211914063,473.8613540649414,455.62313354492187,449.3033059692383,505.89249357658827,502.30375434708765,58.62273262109324,0.09680163924795042,0,0,0,0.0,0.0,0.0,11525.64878655835,13699.26564983182,11537.185972530879,-0.0009999999999998899
2024-04-09,508.1334942168097,508.37755449261033,502.12958759810414,506.9815368652344,68049200,506.9815368652344,0.0011566522904222776,507.15729370117185,507.2790161132813,505.69129791259763,502.61212259928385,495.10518432617187,474.664462890625,456.0977060953776,449.73013092041015,506.06003869791846,502.6502567558392,55.68858027853748,0.09659299585334084,0,0,0,0.0,0.0,0.0,11525.64878655835,13715.1109368228,11537.185972530879,-0.0009999999999998899
2024-04-10,501.2803426609476,503.89666208515973,499.92341259541246,501.9051513671875,82652800,501.9051513671875,-0.010012959307029501,506.6994354248047,507.1755350748698,505.6395889282227,502.8971913655599,495.5810369873047,475.3340301513672,456.5509926350911,450.14751098632814,505.4208252624214,502.59506376408723,40.11176475162524,0.09676908209740655,0,0,0,-0.0,0.0,-0.0,11525.64878655835,13577.782089121,11537.185972530879,-0.0009999999999998899
2024-04-11,503.4281061989144,507.13781122017554,499.9136613545702,505.6929931640625,70099000,505.6929931640625,0.007546927515202695,506.1947326660156,507.0141296386719,505.8166900634766,503.33025512695315,496.1400421142578,476.03226806640623,457.0489776611328,450.5923785400391,505.46269724728927,502.82454001593726,43.88103830522122,0.10026268802156914,0,0,0,0.0,0.0,0.0,11525.64878655835,13680.252626364812,11537.185972530879,-0.0009999999999998899
2024-04-12,502.14918793409277,503.56474960986543,496.9848635757255,498.71282958984375,92561100,498.71282958984375,-0.013803164506086318,505.00177307128905,506.2754374186198,505.69441680908204,503.4716054280599,496.71535400390627,476.6553729248047,457.5092502848307,450.97950210571287,504.42425606922075,502.5199688732637,37.20342785389997,0.11203230545849278,0,0,0,-0.0,0.0,-0.0,11525.64878655835,13491.42184887828,11537.185972530879,-0.0009999999999998899
2024-04-15,502.89118522807627,503.0571295651305,491.61558034670605,492.4649353027344,92101400,492.4649353027344,-0.012528040019038289,503.2728576660156,505.1846537272135,505.4318115234375,503.2499521891276,497.0426928710938,477.21057067871095,457.9235559082031,451.3343237304687,502.5843605666844,501.775151571743,33.142449481937476,0.11812337280172645,0,0,0,-0.0,0.0,-0.0,11525.64878655835,13322.400776041804,11537.185972530879,-0.0009999999999998899
2024-04-16,492.94324564322153,494.4661795680653,490.27809637848605,491.5667419433594,73484000,491.5667419433594,-0.0018238727165881263,501.7782318115234,504.12770589192706,504.9763946533203,503.0161997477214,497.25182739257815,477.72315216064453,458.31300659179686,451.6763479614258,500.88934231694213,501.0189730807516,33.17163690947524,0.11569331043696435,0,0,0,-0.0,0.0,-0.0,11525.64878655835,13298.10241274693,11537.185972530879,-0.0009999999999998899
2024-04-17,494.0268584590965,494.1928325755386,487.26151394107353,488.65753173828125,75910300,488.65753173828125,-0.005918240509064643,499.9370391845703,502.9392923990885,504.2364028930664,502.85157063802086,497.43781311035156,478.21623779296874,458.6989029947917,451.97885818481444,499.00752530484044,500.10331075908715,24.30709666240344,0.11437210387883637,1,0,0,-0.0,0.0,-0.0,11525.64878655835,13219.401044354123,11537.185972530879,-0.0009999999999998899
