Date,Open,High,Low,Close,Volume,Price,Return,SMA_10,SMA_15,SMA_20,SMA_30,SMA_50,SMA_100,SMA_150,SMA_200,EMA_12,EMA_26,RSI_14,Vol_20,BB_Mid,BB_Std,BB_Upper,BB_Lower,Signal,Position,Trade,Gross_Strategy_Return,Transaction_Cost,Strategy_Return,Portfolio_Value,Buy_Hold_Value,Running_Max,Drawdown
2023-05-19,332.0260959855992,332.73444053308907,329.99944936818474,331.0619812011719,61554900,331.0619812011719,-0.0022530667533912085,322.74382934570315,319.96587727864585,317.73082580566404,315.900439453125,310.87192626953123,297.4098844909668,289.21483612060547,289.8102811431885,322.7308473775158,317.75755411524074,70.86279890380847,0.1742862660705169,317.73082580566404,6.949519717670788,331.62986524100563,303.83178637032245,0,0,0,-0.0,0.0,-0.0,10027.756509687983,10785.353915460528,11359.298627462791,-0.1172204518468779
2023-05-22,330.80613461682384,333.1869681863394,330.7962869086459,332.17364501953125,43015900,332.17364501953125,0.0033578721855225258,324.1162475585937,320.9792012532552,318.7977691650391,316.54877217610675,311.84660705566404,298.1425028991699,289.7259240722656,289.8845323944092,324.18358547628736,318.82541270074375,77.97227752883204,0.1732024148748466,318.7977691650391,7.454750687232645,333.70727053950435,303.8882677905738,0,0,0,0.0,0.0,0.0,10027.756509687983,10821.569755384267,11359.298627462791,-0.1172204518468779
2023-05-23,330.45198952282885,331.6030305288364,327.60876391719165,327.9629211425781,48216700,327.9629211425781,-0.012676273208567013,325.26926879882814,321.8961120605469,319.94734954833984,317.12364501953124,312.6950323486328,298.8671975708008,290.15269185384113,289.95069129943846,324.7650217326398,319.5022651779167,73.06956177108428,0.16379990387281088,319.94734954833984,6.967183532290167,333.8817166129202,306.0129824837595,0,0,0,-0.0,0.0,-0.0,10027.756509687983,10684.392580619451,11359.298627462791,-0.1172204518468779
2023-05-24,326.00511301581014,327.5201888136506,324.22441932796124,326.28057861328125,62891200,326.28057861328125,-0.005129672962528309,325.9097198486328,322.83794555664065,320.9203338623047,317.7339324951172,313.37857543945313,299.5127914428711,290.5543292236328,290.0135250091553,324.99818432966157,320.0043624694252,71.85222422094903,0.16644662459245016,320.9203338623047,6.370834957110017,333.6620037765247,308.17866394808465,0,0,0,-0.0,0.0,-0.0,10027.756509687983,10629.585140877609,11359.298627462791,-0.1172204518468779
2023-05-25,333.64934358601045,335.48906351409215,331.21933164301237,334.2199401855469,66862800,334.2199401855469,0.024332927218679634,327.2398315429688,324.3825236002604,321.8731521606445,318.4078409830729,314.1902587890625,300.2393505859375,291.0153631591797,290.13380958557127,326.41691599979777,321.05736822617496,72.88568273409153,0.16119400785289772,321.8731521606445,6.870015764673928,335.61318368999235,308.13312063129666,0,0,0,0.0,0.0,0.0,10027.756509687983,10888.234062475341,11359.298627462791,-0.1172204518468779
2023-05-26,335.2430767468049,343.5956133301905,335.1446897504578,342.7593688964844,63007000,342.7593688964844,0.025550326848232663,329.5389862060547,326.05564982096354,323.1442306518555,319.3860748291016,315.01792114257813,301.06898498535156,291.54234212239584,290.2535065460205,328.9311395223649,322.6649238313831,77.67097334914558,0.17972627036570663,323.1442306518555,8.208137896445773,339.56050644474703,306.7279548589639,0,0,0,0.0,0.0,0.0,10027.756509687983,11166.432001571648,11359.298627462791,-0.1172204518468779
2023-05-30,346.99965567771557,348.19990521349973,342.88733662134945,344.3138732910156,72652200,344.3138732910156,0.004535264490467483,331.8204406738281,327.7799438476562,324.51123504638673,320.4072713216146,315.90515991210935,301.90178771972654,292.03846130371096,290.39002403259275,331.2977139483111,324.2685497172818,82.0735070676092,0.1787301564121043,324.51123504638673,9.326821485398622,343.164878017184,305.8575920755895,0,0,0,0.0,0.0,0.0,10027.756509687983,11217.074724113594,11359.298627462791,-0.1172204518468779
2023-05-31,342.7299012055345,344.9238084183942,340.90002892973666,342.3560485839844,65105400,342.3560485839844,-0.005686162710546672,333.8697143554688,329.50816650390624,325.91857452392577,321.3625508626302,316.73195373535157,302.7558755493164,292.50173319498697,290.4858905792236,332.9989961999532,325.6083644481486,76.77530558330172,0.17612415377009885,325.91857452392577,9.801978730697787,345.52253198532134,306.3146170625302,0,0,0,-0.0,0.0,-0.0,10027.756509687983,11153.292612095924,11359.298627462791,-0.1172204518468779
2023-06-01,342.1002684440527,347.6390936268913,341.04758451891763,346.31097412109375,50488600,346.31097412109375,0.011552083141125546,335.9248901367188,331.27049357096354,327.62646942138673,322.45457865397134,317.5518603515625,303.57859130859373,292.95374186197915,290.5884731292725,335.04699280320557,327.141891090589,78.28193491195057,0.17295432222115595,327.62646942138673,10.243148854205389,348.11276712979753,307.1401717129759,0,0,0,0.0,0.0,0.0,10027.756509687983,11282.136375648157,11359.298627462791,-0.1172204518468779
2023-06-02,348.07198908240025,350.0691223139542,346.310990682491,348.9082336425781,53372100,348.9082336425781,0.007499789829288561,337.63475646972654,333.13645426432294,329.5193176269531,323.71287231445314,318.5067449951172,304.4101870727539,293.4640926106771,290.7078569793701,337.17949139387827,328.7542127611067,81.44374640653906,0.16992321800376795,329.5193176269531,10.513246333531699,350.5458102940165,308.49282495988973,0,0,0,0.0,0.0,0.0,10027.756509687983,11366.750027290891,11359.298627462791,-0.1172204518468779
2023-06-05,348.6918438424343,351.7121483782044,348.12124713372924,349.15423583984375,47266200,349.15423583984375,0.0007050627458611292,339.44398193359376,335.0955485026042,331.0939056396484,324.968544514974,319.39512634277344,305.2217498779297,294.00914021809893,290.847007522583,339.02175977018067,330.2653255817539,80.82915902908474,0.16055381426008783,331.0939056396484,10.991377919383854,353.07666147841616,309.1111498008807,0,0,0,0.0,0.0,0.0,10027.756509687983,11374.764299276649,11359.298627462791,-0.1172204518468779
2023-06-06,348.54425305304295,350.05932906589874,347.2161033675169,349.0951843261719,41390400,349.0951843261719,-0.00016912730137685905,341.1361358642578,336.9352722167969,332.6261917114258,326.243891398112,320.2598956298828,305.98635833740235,294.49924357096353,290.98199897766114,340.5715173941793,331.6601299331923,80.56537102473499,0.16133140575647972,332.6261917114258,11.268501681022526,355.16319507347083,310.0891883493808,0,0,0,-0.0,0.0,-0.0,10027.756509687983,11372.840516086915,11359.298627462791,-0.1172204518468779
2023-06-07,349.38047711755803,351.33824956141177,342.5429850794896,343.1726379394531,69225900,343.1726379394531,-0.016965419898732015,342.6571075439453,338.35589396158855,333.9631881713867,327.51726888020835,321.048125,306.67700622558596,294.9712261962891,291.11877769470215,340.9716897857599,332.51290830402644,68.69452855372732,0.17478780225825097,333.9631881713867,10.823587592778384,355.6103633569435,312.31601298582996,0,0,0,-0.0,0.0,-0.0,10027.756509687983,11179.89550129019,11359.298627462791,-0.1172204518468779
2023-06-08,343.4677721917667,347.89491757581766,343.24151508717813,347.4325256347656,47153900,347.4325256347656,0.012413249846755292,344.7723022460938,339.80078125,335.3410110473633,328.87098999023436,321.9538195800781,307.3913922119141,295.49016133626304,291.3184282684326,341.96566453176075,333.61806514334046,67.44290958551994,0.17565576672967192,335.3410110473633,10.689047768792461,356.7191065849482,313.9629155097784,0,0,0,0.0,0.0,0.0,10027.756509687983,11318.674337408318,11359.298627462791,-0.1172204518468779
2023-06-09,348.8886117981313,351.8695554670356,347.31450949252246,348.7607116699219,53196900,348.7607116699219,0.00382286037477253,346.22637939453125,340.9308573404948,336.73310546875,329.9908945719401,322.77589294433596,308.1134619140625,296.0795570882161,291.52599159240725,343.0110563991701,334.73974266382794,69.50758773422815,0.1756272435585946,336.73310546875,10.523631122426636,357.78036771360325,315.68584322389677,0,0,0,0.0,0.0,0.0,10027.756509687983,11361.944049027752,11359.298627462791,-0.1172204518468779
2023-06-12,350.4233151841649,354.75207353624637,349.44935281140937,354.6536865234375,44606500,354.6536865234375,0.01689689995555721,347.4158111572266,342.5036376953125,338.47739868164064,331.23475748697916,323.65758361816404,308.930412902832,296.74214528401694,291.7585688018799,344.8022302644421,336.2148496163916,72.41502916346144,0.17856754968119043,338.47739868164064,10.4545750321189,359.38654874587843,317.56824861740284,0,0,0,0.0,0.0,0.0,10027.756509687983,11553.925680924813,11359.298627462791,-0.1172204518468779
2023-06-13,357.40838883524145,358.21509032014467,354.2011582191671,357.3788757324219,57097800,357.3788757324219,0.007684085383965922,348.72231140136716,344.1839864095052,340.27137603759763,332.5815938313802,324.4904772949219,309.80143280029296,297.3955288696289,291.9775293731689,346.7370987979774,337.78255525461606,80.226331693085,0.17877679563985088,340.27137603759763,10.46625786270291,361.20389176300347,319.3388603121918,0,0,0,0.0,0.0,0.0,10027.756509687983,11642.707032377035,11359.298627462791,-0.1172204518468779
2023-06-14,357.388709702646,360.2614486098314,354.5848747365158,359.97613525390625,69525600,359.97613525390625,0.0072675239020814075,350.48432006835935,346.3182006835938,342.17701721191406,334.10715637207034,325.3906640625,310.62445892333983,298.0472162882487,292.27374320983887,348.7738736373511,339.42652414345235,83.98483428893647,0.1781760680863173,342.17701721191406,10.407739678825394,362.9924965695649,321.36153785426325,0,0,0,0.0,0.0,0.0,10027.756509687983,11727.320684019767,11359.298627462791,-0.1172204518468779
2023-06-15,358.70698242124115,365.7510662668436,358.08720728442455,364.2655334472656,71138800,364.2655334472656,0.011915784890389691,352.27977600097654,348.85053100585935,344.10233306884766,335.84423828125,326.3978875732422,311.42869049072266,298.71476003011065,292.6062236785889,351.15720591579947,341.26645075854964,82.71198762403213,0.17808706025353127,344.10233306884766,10.766227407526316,365.6347878839003,322.569878253795,0,0,0,0.0,0.0,0.0,10027.756509687983,11867.060914631165,11359.298627462791,-0.1172204518468779
2023-06-16,366.685756610754,366.8136567466766,361.53060052191563,361.9732971191406,80932000,361.9732971191406,-0.006292762058578982,353.58628234863284,350.7007548014323,345.6105194091797,337.54163920084636,327.4212469482422,312.2157952880859,299.4076571655273,292.9438234710693,352.82121994708274,342.80029122970456,74.2127795075007,0.17603733291514267,345.6105194091797,11.062235946014399,367.7349913012085,323.4860475171509,0,0,0,-0.0,0.0,-0.0,10027.756509687983,11792.384323960727,11359.298627462791,-0.1172204518468779
2023-06-20,360.51919447416657,362.85401808956453,358.48976795232016,361.455078125,49204700,361.455078125,-0.0014316497881612378,354.8163665771484,351.94713541666664,347.1301742553711,339.0013926188151,328.39233337402345,313.00400482177736,299.9701642862956,293.28739082336426,354.14950582060845,344.1821272960227,72.1800966207993,0.1756481875463516,347.1301742553711,11.046054971557448,369.222284198486,325.0380643122562,0,0,0,-0.0,0.0,-0.0,10027.756509687983,11775.501759441413,11359.298627462791,-0.1172204518468779
2023-06-21,360.3122757529814,360.74574839812027,355.6032138941422,356.5292663574219,53378300,356.5292663574219,-0.013627728770972403,355.5597747802734,352.76149495442706,348.34795532226565,340.2707194010417,329.2684454345703,313.68784973144534,300.4657964070638,293.6056935882568,354.5156228262721,345.09673018945966,67.03145421660767,0.18703932728486417,348.34795532226565,10.645672778624204,369.63930087951405,327.05660976501724,0,0,0,-0.0,0.0,-0.0,10027.756509687983,11615.028415321638,11359.298627462791,-0.1172204518468779
2023-06-22,355.27810832341714,360.89349995663713,354.87418928310535,360.73590087890625,47603000,360.73590087890625,0.011798847720027483,357.31610107421875,353.9868184407552,349.98660430908205,341.74749247233075,330.2688287353516,314.3850784301758,301.0059357706706,293.96571800231936,355.47258868052353,346.25518727756685,67.22969475610378,0.17876797160876673,349.98660430908205,9.834110335830909,369.65482498074385,330.31838363742025,0,0,0,0.0,0.0,0.0,10027.756509687983,11752.07236685781,11359.298627462791,-0.1172204518468779
2023-06-23,356.8346095368209,359.4649985968141,355.4652534828781,357.15972900390625,48922900,357.15972900390625,-0.009913545799813406,358.2888214111328,354.71006876627604,351.53056182861326,342.9902811686198,331.2525842285156,315.10538391113283,301.49642852783205,294.3182303619385,355.73214873027473,347.06293110914754,59.63069369774329,0.18305919801480702,351.53056182861326,8.205539730167555,367.94164128894835,335.11948236827817,0,0,0,-0.0,0.0,-0.0,10027.756509687983,11635.567659206245,11359.298627462791,-0.1172204518468779
2023-06-26,356.6277531134022,359.4256025963642,352.2831959387062,352.3718566894531,52685500,352.3718566894531,-0.013405409192705386,358.6499359130859,354.94097696940105,352.4381576538086,344.03871561686196,332.0199676513672,315.7350817871094,301.98080759684245,294.6178488922119,355.2151807239945,347.45618485583685,53.395444401147756,0.17803355932425907,352.4381576538086,7.122471166145979,366.68309998610056,338.1932153215167,0,0,0,-0.0,0.0,-0.0,10027.756509687983,11479.588113545176,11359.298627462791,-0.1172204518468779
2023-06-27,353.91858530054697,359.1596415732708,353.1895768193049,358.43060302734375,49428100,358.43060302734375,0.017194183425466525,359.0276275634766,355.5594014485677,353.2217193603516,345.3274749755859,332.9203326416016,316.36348236083984,302.50969370524086,294.94018058776857,355.70986107835586,348.26910472039293,58.74411800184428,0.16586879207672336,353.2217193603516,6.858776112726775,366.93927158580516,339.504167134898,0,0,0,0.0,0.0,0.0,10027.756509687983,11676.970257218278,11359.298627462791,-0.1172204518468779
2023-06-28,356.6080599092529,361.08066255918993,356.5292303100963,359.13006591796875,46498000,359.13006591796875,0.0019514597378607057,359.20274658203124,356.2283935546875,353.96252899169923,346.5818328857422,333.8293743896484,316.89279022216795,303.0431779988607,295.2338761138916,356.2360464382963,349.0736203646578,66.56776779846936,0.16565827915627787,353.96252899169923,6.642749291234313,367.24802757416785,340.6770304092306,0,0,0,0.0,0.0,0.0,10027.756509687983,11699.757394535438,11359.298627462791,-0.1172204518468779
2023-06-29,358.8345611644624,359.4749390241703,356.76574983665876,358.41094970703125,46151000,358.41094970703125,-0.0020023837578159176,359.0462280273438,357.24428100585936,354.76527404785156,347.800087483724,334.72364013671876,317.4693264770508,303.5910092163086,295.5061241912842,356.5706469411786,349.7652743900188,62.30288388864987,0.16385022794011744,354.76527404785156,6.115495038188547,366.9962641242287,342.53428397147445,0,0,0,-0.0,0.0,-0.0,10027.756509687983,11676.329990358232,11359.298627462791,-0.1172204518468779
2023-06-30,362.09534862006734,364.9917198466241,361.78012044104713,363.9376220703125,58712500,363.9376220703125,0.01541993169516398,359.01343688964846,358.34462076822916,355.6466064453125,349.0727010091146,335.7313897705078,318.12657043457034,304.14916127522787,295.8893470001221,357.7040277302761,350.8150779218924,65.545091101185,0.1672724507885297,355.6466064453125,6.103097387812454,367.8528012209374,343.4404116696876,0,0,0,0.0,0.0,0.0,10027.756509687983,11856.37820125975,11359.298627462791,-0.1172204518468779
2023-07-03,364.57797196615155,365.4251946785789,363.4942905371435,364.7947082519531,19432900,364.7947082519531,0.0023550359447999103,359.2955780029297,359.41355387369794,356.44093017578126,350.1722056070964,336.80409545898436,318.7305987548828,304.6942774454753,296.26545921325686,358.79490165668795,351.85060609448954,61.58182993059288,0.16624212715449282,356.44093017578126,6.212768056856575,368.8664662894944,344.01539406206814,0,0,0,0.0,0.0,0.0,10027.756509687983,11884.30039809886,11359.298627462791,-0.1172204518468779
